sentence,Is not valid,Annotations,Paper's Tags,Predicted Tags
سازمان هواپیمایی در بیانیه ای اعلام کرده که حضور مسافران بدون ماسک در پروازها ممنوع است,,,B-NP I-NP O B-NP I-NP O O O B-NP I-NP O O O B-NP O O,B I I I I I I I I I I I I I I I
این مطالعه با مشارکت 330 نفر از کارکنان یک مجموعه صنعتی شیمیایی در استان خراسان جنوبی انجام شد و در ان به سبک زندگی و فرسودگی شغلی کارکنان به دنبال شیوع کو پرداخته شده است,,,B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O O O B-NP O B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I
پس از ثبت درخواست برای داوطلب شماره نامه و کدرهگیری از طریق پیام کوتاه ارسال می شود,,,O O B-NP I-NP O B-NP I-NP B-NP O B-NP O O B-NP I-NP O O O,B I I I I I I I I I I I I I B I I
به گفته ريیسی رسیدن بیماری به اوج باعث ترس نگرانی و اضطراب مردم می شود و این منجر به کاهش حضور در جامعه و رعایت دستورالعمل های بهداشتی را به دنبال دارد اما با از بین رفتن ترس دوباره روند بیماری افزایش می یابد,,,O B-NP I-NP B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP O O O B-NP O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O O O O B-NP I-NP I-NP I-NP O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
پاول هم چنین انتظارات تورمی را عاملی بسیار مهم در مسیر حرکت اینده اقتصاد دانست و افزود از زمان بحران مالی سال 2009 تاکنون بانک مرکزی موفق شده است تا نرخ تورم را زیر دو درصد نگه دارد اما اکنون بهتر است این حساسیت کنار گذاشته شود,,,B-NP O O B-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O O O B-NP I-NP O O B-NP I-NP O O O O O O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I
- بخشی از این انتخاب به دلیل نشدن بخشی از شعارهای جامعه نیست بلكه نشان از طبع جامعه است كه به دنبال حرف نو و تغییر می باشد,,,O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP O O O O B-NP I-NP O B-NP O O,B B I I I I I I I I I I I I I I I I I I I I I I I I I I
4 درصد و در مرداد 3,,,I-NP I-NP O O B-NP B-NP,B I I I I B
اختلال هسته معاملات ریسک سیستماتیک و یکی از عوامل اصلی سلب اعتماد از سرمایه گذاران بود که خوشبختانه فعلا برطرف شده است,,,B-NP I-NP I-NP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O O O O O O,B I I I I I I I I I I I I I I I I I I I B I
واقعا تیمی که که یک خبرنگار بتواند با یک شایعه ارامش و تمرکز ان را جوری به هم بزند که این همه سردرگم بازی کند نباید به سست بودن پایه های خودش نگاه کند,,,O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O,B I B B I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I
بهای معاملات این بازار روز دوشنبه با سه دلار و 70 سنت معادل 0,,,B-NP I-NP I-NP I-NP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP B-NP I-NP,B I I I I I I I I I I I I B
گام اول تحقیقات نشان می داد که شوهر او نیز پزشک بوده و با هم در همین مطب کار می کردند اما برخی روز ها شوهرش به درمانگاه خیریه می رفت و او در انجا تنها بود,,,B-NP I-NP I-NP O O O O B-NP I-NP O B-NP O O O O O B-NP I-NP O O O O B-NP I-NP I-NP B-NP O B-NP I-NP O O O B-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
عوامل موثر در تمرکز حواس هنگام مطالعه دروس را بشناسید۱_تا انگیزه و نیاز به چیزی نباشد تمرکز و توجه دقیق نخواهد بود بنابراین قصد و نیت خود را برای انجام همه کار ها از همان ابتدا مشخص کنید,,,B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-NP O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP O B-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
سال گذشته 12 محکوم به قصاص با همکاری شورای حل اختلاف و همکاری نیکوکاران و جلب رضایت شاکیان از زندان ازاد شدند,,,B-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP O B-NP O O,B B B I I I I I I I I I I I I I I I I I I I
بانک ها در دوران شیوع کرونا عملکردی حمایتی از مردم و کادر درمان داشته اند و این موضوع بسیار ارزشمند است,,,B-NP I-NP O B-NP I-NP I-NP B-NP I-NP O B-NP O B-NP I-NP O O O B-NP I-NP O O O,B I B I I I I I I I I I I I I I I I I I I
هر چند شیوع ویروس و همه گیری کرونا سبب شده مراسم محرم امسال محدودتر و نسبت به سال های قبل متفاوت برگزار شود اما ایین هایی با رعایت فاصله گذاری و پوشش و پخش در فضای مجازی برگزار می شود و از جمله می توان به مراسم هر شب در کانون توحید با عنوان «عاشورا و امروز ما» اشاره کرد که با همکاری «انجمن اندیشه و قلم»برگزار می شود,,,O O B-NP I-NP O B-NP I-NP I-NP O O B-NP I-NP I-NP O O O O B-NP I-NP I-NP O O O O B-NP I-NP O B-NP I-NP I-NP O B-NP O B-NP O B-NP I-NP O O O O O O O O O B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I B I I I I I I I I B I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
»پیش از این جلساتی برای بررسی علل افزایش قیمت سیمان و فولاد به ریاست نیکزاد در مجلس برگزار شده که سرپرست سابق وزارت صنعت معدن و تجارت نیز در ان حضور یافته بود,,,O O B-NP B-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O B-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP O O O,B I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I
امیدواریم این رویکرد استمرار داشته باشد,,,O B-NP I-NP O O O,B I I I I I
"در گروه فلزات "" "" با تقاضای سنگین روبرو شد و با حجم معامله بی نظیر 569 میلیون سهم در نهایت با صف خرید معاملات را به پایان رساندند",,,O B-NP I-NP I-NP I-NP O B-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP O O O O,B I I B B I I I I I I I I I I I I I I I I I I I I I I I I
طبق اعلام بانک مرکزی مانده سپرده ها و تسهیلات بانکی در پایان خرداد سالجاری در مقایسه با مقطع مشابه در سال گذشته به ترتیب با افزایش 34,,,B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP O B-NP I-NP O B-NP I-NP O O O B-NP I-NP,B I I I I I I I I I I I I B I I I I I I I I I I I I B
همچنین متقاضیان می توانند بدون نیاز به کد بورسی پس از نصب اپلیکیشن کیپ با ثبت حداقل اطلاعات کاربری و شماره شبای خود در کیپ و انتخاب گزینه «سهام ETF»، در این پذیره نویسی شرکت کنند,,,O B-NP O O O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
به گزارش روابط عمومی بانک پاسارگاد در راستای اجرای جزء ( بند ( تبصره ( قانون بودجه سال 1399 کل کشور و مصوبات هیات وزیران در این زمینه باقیمانده ی سهام دولت در شرکت های «پالایش نفت تبریز»، «پالایش نفت بندرعباس»، «پالایش نفت اصفهان» و «پالایش نفت تهران» از طریق کارگزاری های بورس سامانه های انلاین معاملاتی و درگاه های غیرحضوری و حضوری بانک های منتخب از جمله بانک پاسارگاد واگذار می شود,,,O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O O O,B I I I I I I I I I B B B B B B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
این برنامه برای کاربران اندروید و ios در دسترس و رایگان است,,,B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP O O O,B I I I I I I B I I I I
دولت سودان تاکنون اقداماتی را برای خروج از لیست کشورهای حامی تروریسم امریکا انجام داده است,,,B-NP I-NP O B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O,B I I I I I I I I I I I I I I I
""" همین حال اداره هواشناسی افغانستان نسبت به بارش شدید باران و وقوع سیلاب ها در ولایت های کنر نورستان بدخشان پنجشیر کاپیسا پروان لغ ننگرهار لوگر خوست پکت پکتیا و سالن ها هشدار داده است",,,O O O B-NP I-NP I-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
همان روزی که در استانه دربی فوق العاده حساس قبل از مهمترین بازی فصل ذره ای برای من و تلاش و فداکاری شاگردانم احترام قايل نشدند,,,B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-NP I-NP O B-NP O B-NP I-NP I-NP I-NP B-NP O O,B I B I I I I I I I B I I I I I I I B I I I I I I I
مدت بازپرداخت این تسهیلات که بدون لحاظ کردن شرط معدل حساب متقاضی پرداخت می شود حداکثر 60 ماهه بوده و کادر درمانی کشور می توانند در صورت تمایل و اعلام دانشگاه های علوم پزشکی و بیمارستان ها از ضمانت انها برای دریافت این تسهیلات استفاده کنند,,,B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP O O O O O O O O B-NP I-NP I-NP O O O O B-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I B I I I I I I I I
» وی گفت «ما هنوز در میانه بحران شیوع ویروس کرونا و با افزایش امار مبتلایان مواجه هستیم,,,O B-NP O B-NP O O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O,B B I I I I I I I I I I I I I I I I
وی افزود به تمامی زیربخش های راه اهن دستور داده ایم که حتی اگر در حین مسیر متوجه بیماری شخصی شدند در اولین ایستگاه با همکاری اورژانس او را تحویل کادر درمانی دهند و این کار با نظارت راه اهن در حال انجام است,,,B-NP O O B-NP I-NP I-NP I-NP I-NP O O O O O O O B-NP I-NP B-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP B-NP O B-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP O O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
ولی مبلمان 5,,,O B-NP B-NP,B I B
همچنین واردات بی رویه و کالاهای لوکس نیز ارزبری بالایی دارند و در این راستا تاثیرگذار است,,,O B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP O O O B-NP I-NP O O,B I I I I I I I I I I I I I I I I
این نویسنده در ادامه بیان کرد گروه دیگر کتاب هایی هستند که به دست نویسنده های غیرح ای منتشر می شوند مثلا فلان نهاد بودجه ای دارد اما دنبال نویسنده حرفه ای که حق الزحمه بیشتری می گیرد نمی رود بلکه دنبال کسانی می رود که به هر قیمتی داستان می نویسند او را صدا می زند و مبلغ کمی به او می دهد,,,B-NP I-NP O O O O B-NP I-NP B-NP I-NP O O O O B-NP I-NP I-NP I-NP O O O O B-NP I-NP B-NP I-NP O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O O O O O B-NP O O O O B-NP I-NP B-NP O O B-NP O O O O O B-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
وی افزود نرخ رعایت پروتکل ها در مورد شرکت غله و خدمات بازرگانی قم بر اساس خود اظهاری بین 95 تا 100 درصد بوده که طبق پایش انجام شده این نرخ 79,,,B-NP O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP B-NP,B I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I
بانک صادرات با گزارش های اخیر خود و بهبود جدی وضعیت عملیاتی مورد توجه خاصی قرار گرفته است,,,B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-NP I-NP I-NP O O O,B I I I I I I I I I I I I I I I I I
شورای جهانی سفر و گردشگری همچنین از دولت ها خواسته پوشیدن ماسک را برای مسافران الزامی کنند و از حمایت های بخش خصوصی بهره بگیرند تا مسافران را نسبت به اجرای تعهداتی در زمینه محافظت از سلامتی خود و سایر مسافران تشویق کنند,,,B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP O O B-NP O O O O B-NP I-NP I-NP I-NP O O O B-NP O O O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
او تاکید کرد که امارات بیش از حد و اندازه خود در حال ایفای نقش است و به قول او «با اتش بازی می کند,,,B-NP O O O B-NP O O B-NP I-NP I-NP I-NP O O B-NP I-NP O O O B-NP I-NP O B-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I
جابجایی بی رویه جمعیت توازن و تعادل خدمات اشتغال و سکونت به هم بریزد که در نتیجه شاهد پدیده حاشیه نشینی باشیم,,,B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O O O O B-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I
وی در ادامه به برخی از تمهیدات اتخاذ شده برای صیانت از سلامت همکاران بانک در برابر این ویروس اشاره داشت و گفت اجرای برنامه حضور دو سومی پرسنل در محل کار تعطیلی باجه های کشیک برخی از شعب تعبیه و استقرار حوضچه های ضد عفونی در ورودی ساختمانها توزیع هفتگی ماسک و سایر اقلام بهداشتی و ضد عفونی بین پرسنل تهیه تیزرهای اموزشی ویژه کارکنان همه سازمانها و پخش ان از طریق تلویزیون های مستقر در شعب برگزاری دوره های اموزشی انلاین برای کارکنان اطلاع رسانی مداوم نکات بهداشتی و پیام های اموزشی برای پیشگیری ابتلای همکاران به ویروس کرونا از طریق پزشک معتمد در پورتال سازمانی بانک مرخصی سلامت به افراد دارای بیماری خاص انجام فرایند تب سنجی پرسنل در مبادی ورودی ساختمانهای بانک و,,,B-NP O O O O O B-NP I-NP I-NP O B-NP O B-NP I-NP I-NP O O B-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP B-NP I-NP O B-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O,B I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
گاهی نیز خانواده های مقتول بعد از چند سال با حضور در محاکم قضایی خواستار دریافت دیه از بیت المال می شوند که در این باره خواسته ان ها مورد بررسی قرار می گیرد و پرونده با توجه به درخواست ان ها به دادگاه کیفری ارسال و در انجا حکم پرداخت دیه ازب المال به خانواده مقتول داده می شود,,,O O B-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP B-NP I-NP I-NP O B-NP O O O O B-NP O O O B-NP I-NP I-NP O B-NP I-NP O O O B-NP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O O,B I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I
نام و نام خانوادگی شماره ملی تاریخ تولد نام پدر کد پستی شماره تلفن همراه و شماره شبای بانکی همه اطلاعاتی است که خریدار صندوق باید در سامانه وارد کند,,,B-NP O B-NP I-NP B-NP I-NP B-NP I-NP B-NP I-NP B-NP I-NP B-NP I-NP I-NP O B-NP I-NP I-NP B-NP I-NP O O B-NP I-NP O O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
شاخص «داوجونز ایدانستریال اوریج» با 3,,,B-NP I-NP I-NP O B-NP,B I I I I
از دست دادن یک جام بعد از شکست مقابل حریف سنتی ان هم در ضربات پنالتی البته که تلخ و گزنده و بر هم زننده تمرکز است اما درست در این زمان است که تمایز مربیان مشخص می شود,,,B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP B-NP O O B-NP I-NP O O O O O O O O O O O O O O B-NP I-NP O O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
این خودزنی بزرگ توسط مدیریتی انجام شد که یک ماه قبل از من لیست گرفت و بدون تمدید قرارداد حتی یکی از بازیکنان ارزشمند فعلی بعد از هر موفقیتی در چند بازی گذشته از برنامه ها و اهداف مشترک برای فصل بعد گفت,,,B-NP I-NP I-NP O B-NP O O O B-NP I-NP I-NP O B-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP O B-NP I-NP O,B I I I B I I I I I I B I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
شریعتمداری گفت این که بگوییم وهابیت دشمن اهل بیت هستند نه درست است و نه به مصلحت ما,,,B-NP O B-NP O O B-NP B-NP I-NP I-NP O O O O O O O B-NP I-NP,B I I I I I I I I I I I I I I I I I
بیشتر شاخص های مهم بورسی کشورهای غربی ریزش کردند,,,B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I
حال گل محمدی در اقدامی عجیب تر تمام عکس هایش را در اینستاگرام پاک کرده و حتی تصویر پروفایل خود را هم تغییر داده است تا بیشتر از قبل به شایعه رفتنش از پرسپولیس دامن بزند,,,O B-NP I-NP O B-NP I-NP I-NP B-NP I-NP I-NP O O B-NP O O O O B-NP I-NP I-NP O O O O O O O O O O B-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I
چنین شواهدی نشان می دهد اقدامات حوزه خانواده تاحدودی موفق بوده است,,,B-NP I-NP O O O B-NP I-NP I-NP O O O O,B I I I I I I I I I I I
علاوه بر این انتی بادی های تولید شده بیشتر از کسانی است که از بیماری کووید-19 بهبود یافته اند,,,O O B-NP B-NP I-NP I-NP I-NP I-NP O O B-NP O O O B-NP I-NP O O O,B I I I I I I I I I I I I I I I I I I
معاون مرکز بهداشت قم با اشاره به اجرای طرح غربالگری کرونا در این استان بیان کرد تا پنجم شهریورماه با 18 درصد مردم قم تماس گرفته شده و انها را مورد غربال گری و ارزیابی قرار دادیم که این امر در افزایش امیدواری مردم به بدنه دولت و نظام بهداشت و درمان و همچنین شناسایی موارد جدید ابتلا تاثیر زیادی دارد,,,B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP I-NP O O O O B-NP O B-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP B-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
به نظرم کتاب خوب بویی دارد که ان بو همه جا پخش می شود و سر ما به طرف ان بو برمی گردد نگاه نمی کنیم این عطر خوشبو را کدام خانم و اقا استفاده کرده است ناخوداگاه بو می کشیم و سرمان به ان طرف برمی گردد,,,O O B-NP O B-NP O O B-NP I-NP B-NP I-NP O O O O B-NP I-NP O B-NP I-NP I-NP O O O O O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O O B-NP O O O B-NP O B-NP I-NP O O,B I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
وی همچنین از مردم قم هم درخواست کرد از سفرهای غیرضروری پرهیز کنند و برنامه ی سفر خود را به بعد از دوران کرونا موکول کنند,,,B-NP O O B-NP I-NP O O O O B-NP I-NP O O O B-NP I-NP I-NP I-NP O O O O B-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I
دسترسی به ناوگان حمل ونقل عمومی دسترسی به کتابخانه و مراکز فرهنگی شهرداری همچون فرهنگسرا و سرای محله از دیگر اقداماتی است که می تواند ساکنان بافت فرسوده شهری را به سمت هنجارهای اجتماعی رهنمون شده و ان ها را برای بازسازی و نوسازی منازلشان با حاکمیت همسو کند,,,B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP O B-NP I-NP O B-NP I-NP O O O O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O O B-NP I-NP O O B-NP I-NP I-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I B I I I I I I I I I
"""",,,O,B
"سرمایه فعلی "" هم از 210 به 250 میلیارد تومان می رسد",,,B-NP I-NP O O O B-NP O B-NP I-NP I-NP O O,B I B I I B I I I I I I
بر همین اساس دهه فجر سال جاری از بورس هوشمند رونمایی خواهد شد,,,O B-NP I-NP B-NP I-NP I-NP I-NP O B-NP I-NP O O O,B I I I I I B I I I I I I
1 درصدی روبرو شده است,,,I-NP I-NP O O O,B I I B I
9 درصد با افزایش مواجه شده است,,,I-NP I-NP O B-NP O O O,B I I I I B I
پامپيو بلافاصله پس از رسیدن به عمان در جریان تور منطقه ای خود در توییتی نوشت برای دیدار با «هیثم بن طارق ال سعید» سلطان عمان وارد این کشور شدم,,,B-NP O O O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
بی بی سی - وزارت دولت در امور رسیدگی به حوادث افغانستان می گوید شمار جان باختگان در نتیجه جاری شدن سیل در هفت ولایت این کشور به 151 نفر افزایش یافته است,,,B-NP I-NP I-NP O I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP O O O,B I I B B I I I I I I I I I I I I I I I I I I I I I I I B I I I I
پذیره نویسی برای هر فرد دارای کد ملی امکان پذیر است و محدودیت سنی برای متقاضیان وجود ندارد,,,B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I I I
توصیه می شود هر 4 روز یک بار نسبت با بررسی املاک مختلف در ترکیه زمان خود را به شکلی منعطف تنظیم نمایید,,,O O O B-NP I-NP I-NP O O O O B-NP I-NP I-NP O B-NP B-NP I-NP O O O O O O,B I I I B I I I I I I I I I I I I I I I I I I
org مراجعه کرده و بر اساس اطلاعیه های مربوط که در درگاه ان دانشگاه اطلاع رسانی خواهد شد اقدام کنند,,,I-NP O O O O O B-NP I-NP I-NP O O B-NP I-NP I-NP O O O O O O,B B B I I I I I I I I I I I I I I I I I
"""",,,O,B
تا زمانیکه افراط گرایان از مرزهای خاص پاف نگذارند نیروهای روسی استفاده نخواهند شد تاکید کرد انها استفاده نمی شوند تا زمانیکه عناصر افراطی که پشت شعارهای سیاسی پنهان شده اند از مرزهای خاص نگذ مرزهایی که با دزدی اتش زدن ماشین ها ، ها بانک ها و تلاش برای تصرف ساختمان های دولتی اغاز می شود,,,O O B-NP I-NP O B-NP I-NP O O B-NP I-NP O O O O O B-NP O O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I B I I B I I I I I I I I I
این میهمانی شام توسط انجمن پارلمانی گلف ایرلند برگزار شده بود و شماری از مقامات ارشد و سیاستمداران برجسته ایرلندی در ان شرکت داشتند,,,B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP O O,B I I I B I I I I B I I I I I I I I I I I I I I
خانم دشتی گفته بعد از 15 سال زندگی مشترک ، هیچ علاقه و امیدی به ادامه زندگی با همسرش که این بلا را سر انها اورده ، ندارد و نگران جان تنها پسر و خانواده اش است,,,B-NP I-NP O O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O,B I I I I B I I I I B I I I I I I I I I I I I I I I I B I I I I I I I I I
مشتریان بانک سپه می توانند از طریق مراجعه به درگاه های غیرحضوری و حضوری بانک و با ارايه اطلاعات مورد نیاز نسبت به پذیره‏ نویسی واحدهای سرمایه گذاری صندوق سرمایه گذاری پالایشی یکم از تاریخ 5 تا 19 شهریور ماه 1399 اقدام کنند,,,B-NP I-NP I-NP O O O O O O B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I
اگرچه صادقانه بگویم او خوب است,,,O O O B-NP O O,B I I I I I
- نه چنان تحلیلی را قبول ندارم چون مابقی نامزدها چهره های شناخته شده ای بودند كه به نوعی در معرض تخریب قرار نداشتند,,,O O B-NP I-NP O O O O B-NP I-NP B-NP I-NP I-NP I-NP I-NP O O O O O O B-NP O O,B B I I I I I I I I I I I I I I I I I I I I I I
